trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998767575315342}",20,0,-98.27372499844434,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9995070605035489}",20,0,-158.7752815492653,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9988910000407927}",20,0,-111.80312887929914,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9980287279928899}",25,0,-32.54887013166164,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9969204568969118}",25,0,-130.0886373931488,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9955664599249897}",20,0,-142.4799775391092,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9939670708169818}",25,0,-142.86083684056186,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9921226837982114}",25,0,-70.12361836939229,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9900337534822967}",25,0,-44.5894295036071,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9877007947590948}",20,0,-134.77983083798694,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9851243826677893}",30,0,-201.43174143941678,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9823051522551522}",20,0,-117.58042845654283,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.979243798419014}",30,0,-78.7010154324521,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9759410757369817}",30,0,-56.01323889948597,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9723977982804476}",20,0,-106.86144644483277,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9686148394139318}",25,0,-99.63251430269734,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9645931315798121}",20,0,-77.48216065438596,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9603336660684902}",25,0,-114.88103052005427,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9558374927740543}",35,0,-108.17119819122692,"{0: 23, 1: 3, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.951105719935495}",20,1,-56.94112007104731,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9461395138635421}",20,0,-59.7057932632768,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9409400986531861}",25,0,-163.72835855657635,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9355087558819573}",25,0,-185.0869789055075,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
24,False,"{'a': 0.5, 'e': 0.9298468242940358}",30,0,-80.72649051709647,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9239556994702721}",25,0,-40.20648092232844,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9178368334841971}",30,0,-83.74674888631947,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9114917345441071}",25,0,-130.62718434581728,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9049219666213144}",25,0,-177.2033529385429,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.898129149064651}",25,0,-108.79524508278477,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.891114956201324}",25,10,-50.940051088285315,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.8838811169242189}",20,0,-82.95445690641255,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8764294142657537}",25,0,-96.39446645863636,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8687616849583882}",25,0,-147.58931474994202,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.8608798189818972}",20,0,-126.4230463533611,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8527857590975187}",20,0,-111.3286101421848,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.844481500369093}",20,10,-47.787623170084245,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.8359690896713088}",20,0,-7.115267338524451,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8272506251851803}",20,0,-36.04453347782928,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8183282558808763}",20,0,-150.89739686749434,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.8092041809880324}",35,0,-75.39517581592195,"{0: 25, 1: 4, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.7998806494536727}",25,4,-148.71976639855356,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 3}",1
42,False,"{'a': 0.5, 'e': 0.7903599593878795}",20,0,-55.533797589397516,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.7806444574973436}",20,0,-115.77833183437139,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7707365385069352}",25,0,-86.70394606439348,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7606386445694423}",35,0,-51.41477139533846,"{0: 26, 1: 4, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7503532646636147}",25,2,-48.65728512049597,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7398829339806704}",20,3,8.052268396884559,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7292302332994068}",20,5,-50.981783399393066,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.71839778835008}",30,15,-28.099722890018512,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 0}",1
