trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999987675502532}",20,0,-52.048942285751274,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999950702040505}",25,0,-175.69249154988958,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9999889079705055}",20,0,-151.54870499251797,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999802808648077}",30,0,-83.34220775499551,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999691889082218}",25,0,-47.96676869355337,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999556321280886}",20,0,-123.28516402786609,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999396105578239}",25,0,-177.07048750734748,"{0: 13, 1: 6, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9999211242369195}",25,12,-38.47302181246683,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9999001732109422}",20,0,-29.983062591140495,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9998767575315342}",20,0,-104.08669706125482,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9998508772564129}",20,2,-98.20424299472106,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9998225324493704}",25,0,-95.56213346012332,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9997917231802739}",20,0,-68.21742774119687,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9997584495250651}",25,0,-55.07352088701123,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9997227115657603}",30,0,-155.80848282809347,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.99968450939045}",30,0,-214.71517550292026,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9996438430932985}",20,0,-115.28502378809115,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9996007127745443}",30,0,-79.78820595447691,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9995551185404994}",20,0,-55.015956329913976,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9995070605035489}",25,0,-48.12824109925043,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.999456538782151}",20,0,-72.94456951377508,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9994035535008366}",25,0,-117.16475186862793,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9993481047902093}",30,0,-115.63074344939182,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9992901927869444}",25,0,-124.3534384133017,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9992298176337894}",25,0,-253.34956456848906,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
26,False,"{'a': 0.5, 'e': 0.9991669794795627}",25,0,-111.52723524641264,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9991016784791542}",20,0,-110.57123434493789,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9990339147935242}",25,0,-171.1479216545721,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9989636885897035}",20,0,-121.44457008505805,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9988910000407927}",25,0,-109.69865096772536,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9988158493259616}",20,9,-100.31474613176523,"{0: 4, 1: 4, 2: 1, 3: 0, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.998738236630449}",30,0,-127.65864426935782,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9986581621455628}",30,0,-44.01599056834411,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9985756260686783}",25,0,-164.95966783871177,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9984906286032388}",20,15,1.184274396810411,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.9984031699587543}",30,0,-130.7835368168915,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
