trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.31746080286325,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.46099563115737,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.47106813899325,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.1463726791465,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.30335865779955,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-26.473288814731973,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.21030717040189,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.5002309781574,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-64.52962929994783,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-174.4103616295831,"{0: 22, 1: 2, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.14322234753556,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.60180440114638,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.94818291475876,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.51911998603377,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.43691284990382,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-206.76339945184822,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-237.26305168524604,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.40529448793171,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,5,-57.117914395618975,"{0: 9, 1: 1, 2: 3, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.84082947631393,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.92420924430286,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-89.12685114653944,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.00899927006876,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.29857210713396,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-219.6190942857428,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-195.91377230222488,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.3674129640229,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.75558598693631,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.76283709672182,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-241.63323183873166,"{0: 14, 1: 4, 2: 8, 3: 0, 4: 4}",0
